,title,byline,dates
62,"One new superbug infection every 18 minutes in Hong Kong public hospitals: Statisticsfor public hospitals show cases have risen 15pc since 2011, with overcrowding and HK's ageing population given as key factors","Wang, Jeanette.",2-May-14
63,State Grid Corporation chairman targeted in massive audit,Staff Reporter.,2-May-14
64,State Grid Corporation chairman Liu Zhenya targeted in massive audit,Staff Reporter.,2-May-14
65,Japanese psyche reflected in monsters,"Lo, Alex.",2-May-14
66,Premier Li Keqiang makes case for deeper economic reforms over stimulus: Premier says reverting to short-term stimulus would only 'make life harder' in the future,"Li, Amy.",2-May-14
67,Thousands in Hong Kong march to demand better pay and shorter hours: Workers call for improved minimum wage and employment conditions,"Ngo, Jennifer.",2-May-14
68,Thousands of workers march to demand better pay and conditions: Protesters call for improved minimum wage and employment conditions,"Ngo, Jennifer.",2-May-14
69,"Two religious extremists carried out suicide attack in Urumqi, Xinjiang authorities say: Two religious extremists used knives then set off explosives, police say","Wan, Adrian.",2-May-14
70,Audit of State Grid Corporation starts at research division,Staff Reporter.,2-May-14
71,"China news in brief, May 2, 2014",,2-May-14
72,"In China, Labour Day holiday begins with millions stuck in traffic jams: Lines of barely movingvehicles extend up to 55km on highways in Beijing, Guangdong and Xian as millions try to reach vacation spots","Luo, Chris; Lau, Mimi.",2-May-14
73,National holiday kicks off with millions idling in traffic: The nation'sroadways and public transport systems stretched beyond capacity as the three-day holiday gets under way,"Luo, Chris; Lau, Mimi.",2-May-14
74,State Grid audit starts at research division,Staff Reporter.,2-May-14
75,"China digest, May 1, 2014",,2-May-14
76,Firemen plunge,,2-May-14
77,Godzilla fans in Japan say new Hollywood version of monster looks overweight: Furious Japanese film fans say new Hollywood version looks overweight,"Ryall, Julian.",2-May-14
78,Japan announces military drills in East China Sea,"Ryall, Julian.",2-May-14
79,Masahiko Komura's visit to China will be judged by who LDP No. 2 meets: Masahiko Komura'svisit to China will be judged by who the LDP No 2 meets and whether he can pave way for more cordial ties,"Ryall, Julian.",2-May-14
80,"Letters Question, May 02, 2014",,2-May-14
81,"Letters to the Editor, May 02, 2014",,2-May-14
82,Pointless filibusters waste time and money,,2-May-14
83,Relax ban on mainland mothers giving birth in Hong Kong,,2-May-14
84,Use threat of Legco seat loss to curb budget filibusters,,2-May-14
85,Mainland developers tap real estate funds: Mainland developersare teaming up with investment funds to finance costly land purchases amid tight checks on trust loans,"Chiang, Langi.",2-May-14
86,Mainland homebuyers take a holiday,"Liu, Yvonne.",2-May-14
87,events,,2-May-14
88,FAW eyes sales of electric vehicles in China's most polluted cities,"Ng, Eric.",2-May-14
89,Take China's public sector on an electric ride: Lower energy costswill help encourage use by buses and taxis on the mainland while reducing emissions of pollutants,"Ng, Eric.",2-May-14
90,"China telecoms operators see plenty to gain in sharing infrastructure: Joint venturetower facilities company would reduce the cost of establishing nationwide mobile networks, saving up to 50b yuan a year","Yu, Sophie; Perez, Bien.",2-May-14
91,Manulife lifts core profit 16pc in quarter,"Yiu, Enoch.",2-May-14
92,Weaker home prices add to mainland economic fears: Index tracking 288 cities records first monthly drop in average housing costs since July 2012,"Chiang, Langi.",2-May-14
93,Brazilians caught 'with HK$6.2m of cocaine',,2-May-14
94,"In running terms, a Korea highlight: Retiree takes on Pyongyang marathon: North Korea provides retiree with one of his more memorable marathons","Lee, Ada.",2-May-14
95,"No need for confrontation, just point us to the toilet: mainland tourists: As competition seekspictures of mainlanders relieving themselves in public, tourists say better signage may be more constructive","Zhao, Shirley; Lo, Wei.",2-May-14
96,"South Horizons residents demand local shops, not a tourist mall","Kao, Ernest.",2-May-14
97,Toilet read offers advice for mainland visitors caught short,,2-May-14
